file_path,page_url,canonical_url,meta_robots,h1,title,meta_description,in_sitemap,sitemap_url,has_visible_updated_date,has_json_ld,schema_types,detected_page_type,target_status_suggestion,notes
kontakty.html,https://guide.youreco.com.ua/kontakty.html,https://guide.youreco.com.ua/kontakty.html,"noindex, follow",Контакти довідник YOURECO,Контакти — Довідник YOURECO,"Контакти YOURECO: телефони, email, месенджери, адреса офісу та виробничі майданчики. Коротка довідка про компанію та реквізити.",NO,,NO,YES,Article,contact,keep_noindex,missing updated date
kudy-zdaty-avtoshyn.html,https://guide.youreco.com.ua/utylizaciya-avtoshyn.html,https://guide.youreco.com.ua/utylizaciya-avtoshyn.html,"noindex, follow",Куди здати автошини,Куди здати автошини — Довідник YOURECO,"Практичний гайд про те, куди здати автошини, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-budivelnyh-vidhodiv.html,https://guide.youreco.com.ua/utylizaciya-budivelnyh-vidhodiv.html,https://guide.youreco.com.ua/utylizaciya-budivelnyh-vidhodiv.html,"noindex, follow",Куди здати будівельні відходи,Куди здати будівельні відходи — Довідник YOURECO,"Практичний гайд про те, куди здати будівельні відходи, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-derevyny-z-budivnyctva.html,https://guide.youreco.com.ua/utylizaciya-derevyny-z-budivnyctva.html,https://guide.youreco.com.ua/utylizaciya-derevyny-z-budivnyctva.html,"noindex, follow",Куди здати деревину з будівництва,Куди здати деревину з будівництва — Довідник YOURECO,"Практичний гайд про те, куди здати деревину з будівництва, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-dokumentiv.html,https://guide.youreco.com.ua/utylizaciya-dokumentiv.html,https://guide.youreco.com.ua/utylizaciya-dokumentiv.html,"noindex, follow",Куди здати документи,Куди здати документи — Довідник YOURECO,"Практичний гайд про те, куди здати документи, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-energetychnyh-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-energetychnyh-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-energetychnyh-napoyiv.html,"noindex, follow",Куди здати енергетичні напої,Куди здати енергетичні напої — Довідник YOURECO,"Практичний гайд про те, куди здати енергетичні напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-fruktiv-ta-ovochiv.html,https://guide.youreco.com.ua/utylizaciya-fruktiv-ta-ovochiv.html,https://guide.youreco.com.ua/utylizaciya-fruktiv-ta-ovochiv.html,"noindex, follow",Куди здати фрукти та овочі,Куди здати фрукти та овочі — Довідник YOURECO,"Практичний гайд про те, куди здати фрукти та овочі, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-fruktiv.html,https://guide.youreco.com.ua/utylizaciya-fruktiv.html,https://guide.youreco.com.ua/utylizaciya-fruktiv.html,"noindex, follow",Куди здати фрукти,Куди здати фрукти — Довідник YOURECO,"Практичний гайд про те, куди здати фрукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-gazovanyh-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-gazovanyh-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-gazovanyh-napoyiv.html,"noindex, follow",Куди здати газовані напої,Куди здати газовані напої — Довідник YOURECO,"Практичний гайд про те, куди здати газовані напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-gipsokartonu.html,https://guide.youreco.com.ua/utylizaciya-gipsokartonu.html,https://guide.youreco.com.ua/utylizaciya-gipsokartonu.html,"noindex, follow",Перенаправлення...,Перенаправлення... — Довідник YOURECO,"Службова сторінка перенаправлення для запиту щодо гіпсокартону: веде на канонічну сторінку утилізації, містить noindex і не входить до sitemap.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-harchovyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-harchovyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-harchovyh-produktiv.html,"noindex, follow",Куди здати харчові продукти,Куди здати харчові продукти — Довідник YOURECO,"Практичний гайд про те, куди здати харчові продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-kabelyu-ta-drotiv.html,https://guide.youreco.com.ua/utylizaciya-kabelyu-ta-drotiv.html,https://guide.youreco.com.ua/utylizaciya-kabelyu-ta-drotiv.html,"noindex, follow",Куди здати кабель та дроти,Куди здати кабель та дроти — Довідник YOURECO,"Практичний гайд про те, куди здати кабель та дроти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-kondyterskyh-vyrobiv.html,https://guide.youreco.com.ua/utylizaciya-kondyterskyh-vyrobiv.html,https://guide.youreco.com.ua/utylizaciya-kondyterskyh-vyrobiv.html,"noindex, follow",Куди здати кондитерські вироби,Куди здати кондитерські вироби — Довідник YOURECO,"Практичний гайд про те, куди здати кондитерські вироби, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-konserviv.html,https://guide.youreco.com.ua/utylizaciya-konserviv.html,https://guide.youreco.com.ua/utylizaciya-konserviv.html,"noindex, follow",Куди здати консерви,Куди здати консерви — Довідник YOURECO,"Практичний гайд про те, куди здати консерви, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-kosmetiki.html,https://guide.youreco.com.ua/utylizaciya-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-kosmetyky.html,"noindex, follow",Перенаправлення із застарілої адреси,Редирект: утилізація косметики | YOURECO,Службова сторінка для застарілої адреси перенаправляє на актуальний матеріал про утилізацію косметики для підприємств.,NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-kosmetyky-magazyniv.html,https://guide.youreco.com.ua/utylizaciya-kosmetyky-magazyniv.html,https://guide.youreco.com.ua/utylizaciya-kosmetyky-magazyniv.html,"noindex, follow",Куди здати косметику з магазинів,Куди здати косметику з магазинів — Довідник YOURECO,"Практичний гайд про те, куди здати косметику з магазинів, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-kosmetyky.html,"noindex, follow",Перенаправлення із застарілої адреси,Редирект: утилізація косметики | YOURECO,Службова сторінка для застарілої адреси перенаправляє на актуальний матеріал про утилізацію косметики для підприємств.,NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-li-ion-batarej.html,https://guide.youreco.com.ua/utylizaciya-li-ion-batarej.html,https://guide.youreco.com.ua/utylizaciya-li-ion-batarej.html,"noindex, follow",Куди здати Li-ion батареї,Куди здати Li-ion батареї — Довідник YOURECO,"Практичний гайд про те, куди здати Li-ion батареї, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-materialiv.html,https://guide.youreco.com.ua/utylizaciya-materialiv.html,https://guide.youreco.com.ua/utylizaciya-materialiv.html,"noindex, follow",Куди здати матеріали,Куди здати матеріали — Довідник YOURECO,"Практичний гайд про те, куди здати матеріали, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-metalevoyi-strushky.html,https://guide.youreco.com.ua/utylizaciya-metalevoyi-strushky.html,https://guide.youreco.com.ua/utylizaciya-metalevoyi-strushky.html,"noindex, follow",Куди здати металеву стружку,Куди здати металеву стружку — Довідник YOURECO,"Практичний гайд про те, куди здати металеву стружку, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-metalu.html,https://guide.youreco.com.ua/utylizaciya-metalu.html,https://guide.youreco.com.ua/utylizaciya-metalu.html,"noindex, follow",Куди здати метал,Куди здати метал — Довідник YOURECO,"Практичний гайд про те, куди здати метал, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-molochnyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-molochnyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-molochnyh-produktiv.html,"noindex, follow",Куди здати молочні продукти,Куди здати молочні продукти — Довідник YOURECO,"Практичний гайд про те, куди здати молочні продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-myasnyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-myasnyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-myasnyh-produktiv.html,"noindex, follow",Куди здати м’ясні продукти,Куди здати м’ясні продукти — Довідник YOURECO,"Практичний гайд про те, куди здати м’ясні продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-napivfabrykatyv.html,https://guide.youreco.com.ua/utylizaciya-napivfabrykatyv.html,https://guide.youreco.com.ua/utylizaciya-napivfabrykatyv.html,"noindex, follow",Куди здати напівфабрикати,Куди здати напівфабрикати — Довідник YOURECO,"Практичний гайд про те, куди здати напівфабрикати, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-napoyiv.html,"noindex, follow",Куди здати напої,Куди здати напої — Довідник YOURECO,"Практичний гайд про те, куди здати напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-nekondicijnoyi-sirovini.html,https://guide.youreco.com.ua/utylizaciya-nekondicijnoyi-sirovini.html,https://guide.youreco.com.ua/utylizaciya-nekondicijnoyi-sirovini.html,"noindex, follow",Куди здати некондиційну сировину,Куди здати некондиційну сировину — Довідник YOURECO,"Практичний гайд про те, куди здати некондиційну сировину, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-nekondyciynoyi-produkciyi.html,https://guide.youreco.com.ua/utylizaciya-nekondyciynoyi-produkciyi.html,https://guide.youreco.com.ua/utylizaciya-nekondyciynoyi-produkciyi.html,"noindex, follow",Куди здати некондиційну продукцію,Куди здати некондиційну продукцію — Довідник YOURECO,"Практичний гайд про те, куди здати некондиційну продукцію, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-obladnannya.html,https://guide.youreco.com.ua/utylizaciya-obladnannya.html,https://guide.youreco.com.ua/utylizaciya-obladnannya.html,"noindex, follow",Куди здати обладнання,Куди здати обладнання — Довідник YOURECO,"Практичний гайд про те, куди здати обладнання, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-odyagu-vzuttya.html,https://guide.youreco.com.ua/utylizaciya-odyagu-vzuttya.html,https://guide.youreco.com.ua/utylizaciya-odyagu-vzuttya.html,"noindex, follow",Куди здати одяг та взуття,Куди здати одяг та взуття — Довідник YOURECO,"Практичний гайд про те, куди здати одяг та взуття, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-ofisnih-mebliv-orgtehniki.html,https://guide.youreco.com.ua/utylizaciya-ofisnih-mebliv-orgtehniki.html,https://guide.youreco.com.ua/utylizaciya-ofisnih-mebliv-orgtehniki.html,"noindex, follow",Куди здати офісні меблі та оргтехніку,Куди здати офісні меблі та оргтехніку — Довідник YOURECO,"Практичний гайд про те, куди здати офісні меблі та оргтехніку, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-ovochiv.html,https://guide.youreco.com.ua/utylizaciya-ovochiv.html,https://guide.youreco.com.ua/utylizaciya-ovochiv.html,"noindex, follow",Куди здати овочі,Куди здати овочі — Довідник YOURECO,"Практичний гайд про те, куди здати овочі, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-paperu-ta-kartonu.html,https://guide.youreco.com.ua/utylizaciya-paperu-ta-kartonu.html,https://guide.youreco.com.ua/utylizaciya-paperu-ta-kartonu.html,"noindex, follow",Куди здати папір та картон,Куди здати папір та картон — Довідник YOURECO,"Практичний гайд про те, куди здати папір та картон, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-parfumeriyi.html,https://guide.youreco.com.ua/utylizaciya-parfumeriyi.html,https://guide.youreco.com.ua/utylizaciya-parfumeriyi.html,"noindex, follow",Куди здати парфумерію,Куди здати парфумерію — Довідник YOURECO,"Практичний гайд про те, куди здати парфумерію, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-partiyi-produktiv.html,https://guide.youreco.com.ua/utylizaciya-partiyi-produktiv.html,https://guide.youreco.com.ua/utylizaciya-partiyi-produktiv.html,"noindex, follow",Куди здати партії продуктів,Куди здати партії продуктів — Довідник YOURECO,"Практичний гайд про те, куди здати партії продуктів, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-paverbankiv-dbj.html,https://guide.youreco.com.ua/utylizaciya-paverbankiv-dbj.html,https://guide.youreco.com.ua/utylizaciya-paverbankiv-dbj.html,"noindex, follow",Куди здати павербанки та ДБЖ,Куди здати павербанки та ДБЖ — Довідник YOURECO,"Практичний гайд про те, куди здати павербанки та ДБЖ, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-plastyku-ta-polimeriv.html,https://guide.youreco.com.ua/utylizaciya-plastyku-ta-polimeriv.html,https://guide.youreco.com.ua/utylizaciya-plastyku-ta-polimeriv.html,"noindex, follow",Куди здати пластик та полімери,Куди здати пластик та полімери — Довідник YOURECO,"Практичний гайд про те, куди здати пластик та полімери, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-produktiv-harchuvannya-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-produktiv-harchuvannya-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-produktiv-harchuvannya-napoyiv.html,"noindex, follow",Куди здати продукти харчування та напої,Куди здати продукти харчування та напої — Довідник YOURECO,"Практичний гайд про те, куди здати продукти харчування та напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-produktiv-na-skladi.html,https://guide.youreco.com.ua/utylizaciya-produktiv-na-skladi.html,https://guide.youreco.com.ua/utylizaciya-produktiv-na-skladi.html,"noindex, follow",Куди здати продукти на складі,Куди здати продукти на складі — Довідник YOURECO,"Практичний гайд про те, куди здати продукти на складі, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-promyslovogo-obladnannya-mehanizmiv.html,https://guide.youreco.com.ua/utylizaciya-promyslovogo-obladnannya-mehanizmiv.html,https://guide.youreco.com.ua/utylizaciya-promyslovogo-obladnannya-mehanizmiv.html,"noindex, follow",Куди здати промислове обладнання та механізми,Куди здати промислове обладнання та механізми — Довідник YOURECO,"Практичний гайд про те, куди здати промислове обладнання та механізми, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-promyslovyh-vidhodiv.html,https://guide.youreco.com.ua/utylizaciya-promyslovyh-vidhodiv.html,https://guide.youreco.com.ua/utylizaciya-promyslovyh-vidhodiv.html,"noindex, follow",Куди здати промислові відходи,Куди здати промислові відходи — Довідник YOURECO,"Практичний гайд про те, куди здати промислові відходи, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-prostrochenoyi-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-prostrochenoyi-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-prostrochenoyi-kosmetyky.html,"noindex, follow",Куди здати прострочену косметику,Куди здати прострочену косметику — Довідник YOURECO,"Практичний гайд про те, куди здати прострочену косметику, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-prostrochenyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-prostrochenyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-prostrochenyh-produktiv.html,"noindex, follow",Куди здати прострочені продукти,Куди здати прострочені продукти — Довідник YOURECO,"Практичний гайд про те, куди здати прострочені продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-pyva.html,https://guide.youreco.com.ua/utylizaciya-pyva.html,https://guide.youreco.com.ua/utylizaciya-pyva.html,"noindex, follow",Куди здати пиво,Куди здати пиво — Довідник YOURECO,"Практичний гайд про те, куди здати пиво, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-rybnyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-rybnyh-produktiv.html,https://guide.youreco.com.ua/utylizaciya-rybnyh-produktiv.html,"noindex, follow",Куди здати рибні продукти,Куди здати рибні продукти — Довідник YOURECO,"Практичний гайд про те, куди здати рибні продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-shin.html,https://guide.youreco.com.ua/utylizaciya-shyn.html,https://guide.youreco.com.ua/utylizaciya-shyn.html,"noindex, follow",Перенаправлення із застарілої адреси,Редирект: утилізація шин | YOURECO,Службова сторінка для застарілої адреси перенаправляє на актуальний матеріал про утилізацію шин для підприємств.,NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-shyn-pidpryyemstvamy.html,https://guide.youreco.com.ua/utylizaciya-shyn-pidpryyemstvamy.html,https://guide.youreco.com.ua/utylizaciya-shyn-pidpryyemstvamy.html,"noindex, follow",Куди підприємствам здати шини,Куди підприємствам здати шини — Довідник YOURECO,"Практичний гайд про те, куди підприємствам здати шини, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-shyn.html,https://guide.youreco.com.ua/utylizaciya-shyn.html,https://guide.youreco.com.ua/utylizaciya-shyn.html,"noindex, follow",Перенаправлення із застарілої адреси,Редирект: утилізація шин | YOURECO,Службова сторінка для застарілої адреси перенаправляє на актуальний матеріал про утилізацію шин для підприємств.,NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-shyny.html,https://guide.youreco.com.ua/utylizaciya-shyn.html,https://guide.youreco.com.ua/utylizaciya-shyn.html,"noindex, follow",Перенаправлення із застарілої адреси,Редирект: утилізація шин | YOURECO,Службова сторінка для застарілої адреси перенаправляє на актуальний матеріал про утилізацію шин для підприємств.,NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-skla.html,https://guide.youreco.com.ua/utylizaciya-skla.html,https://guide.youreco.com.ua/utylizaciya-skla.html,"noindex, follow",Куди здати скло,Куди здати скло — Довідник YOURECO,"Практичний гайд про те, куди здати скло, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-skladskyh-zalyshkiv-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-skladskyh-zalyshkiv-kosmetyky.html,https://guide.youreco.com.ua/utylizaciya-skladskyh-zalyshkiv-kosmetyky.html,"noindex, follow",Куди здати складські залишки косметики,Куди здати складські залишки косметики — Довідник YOURECO,"Практичний гайд про те, куди здати складські залишки косметики, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-skladskyh-zalyshkiv.html,https://guide.youreco.com.ua/utylizaciya-skladskyh-zalyshkiv.html,https://guide.youreco.com.ua/utylizaciya-skladskyh-zalyshkiv.html,"noindex, follow",Куди здати складські залишки,Куди здати складські залишки — Довідник YOURECO,"Практичний гайд про те, куди здати складські залишки, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-sokiv-ta-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-sokiv-ta-napoyiv.html,https://guide.youreco.com.ua/utylizaciya-sokiv-ta-napoyiv.html,"noindex, follow",Куди здати соки та напої,Куди здати соки та напої — Довідник YOURECO,"Практичний гайд про те, куди здати соки та напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-sokiv.html,https://guide.youreco.com.ua/utylizaciya-sokiv.html,https://guide.youreco.com.ua/utylizaciya-sokiv.html,"noindex, follow",Куди здати соки,Куди здати соки — Довідник YOURECO,"Практичний гайд про те, куди здати соки, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-sonyachnih-panelij-vitryakiv.html,https://guide.youreco.com.ua/utylizaciya-sonyachnih-panelij-vitryakiv.html,https://guide.youreco.com.ua/utylizaciya-sonyachnih-panelij-vitryakiv.html,"noindex, follow",Куди здати сонячні панелі та вітряки,Куди здати сонячні панелі та вітряки — Довідник YOURECO,"Практичний гайд про те, куди здати сонячні панелі та вітряки, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
kudy-zdaty-tary-upakovki.html,https://guide.youreco.com.ua/utylizaciya-tary-upakovki.html,https://guide.youreco.com.ua/utylizaciya-tary-upakovki.html,"noindex, follow",Куди здати тару та упаковку,Куди здати тару та упаковку — Довідник YOURECO,"Практичний гайд про те, куди здати тару та упаковку, як підготувати передачу, які документи потрібні та на що звернути увагу.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
